profile,condition,audio_path,ref_text,hyp_text,hyp_len,is_nonempty,keyword_hallucinated
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_01_3s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_02_3s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_03_3s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_04_3s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_05_3s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_06_5s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_07_5s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_08_5s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_09_5s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_10_5s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_11_8s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_12_8s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_13_8s.wav,,<{silent}>,0,0,0
D2,C1,C:\Users\mk\Desktop\Rocling\ROCLING2026\data\hallucination\C1\silence_14_8s.wav,,<{silent}>,0,0,0
