audio_path,reference_text,language,condition,venue,source,source_scene,source_file,start_sec,duration_sec,license
../acp_drp/C2A_hospital/lobby/lobby_01.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,0.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_02.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,10.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_03.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,15.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_04.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,105.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_05.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,40.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_06.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,200.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_07.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,55.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_08.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,60.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_09.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,65.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_10.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,75.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_11.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,80.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_12.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,85.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_13.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,90.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_14.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,95.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_15.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,120.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_16.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,165.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_17.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,175.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_18.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,185.000,5.0,restricted_internal
../acp_drp/C2A_hospital/lobby/lobby_19.wav,,zh-tw,C2A,lobby,hospital_self_recorded,入口大廳,入口大廳.m4a,190.000,5.0,restricted_internal
